"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2019,40,512,2,13,2.93,0.39,2.54
States,Alaska,2019,40,X,X,X,X,X,X
States,Arizona,2019,40,278,0,2,0.72,0,0.72
States,Arkansas,2019,40,89,0,0,0,0,0
States,California,2019,40,1776,18,10,1.58,1.01,0.56
States,Colorado,2019,40,458,2,0,0.44,0.44,0
States,Connecticut,2019,40,475,1,0,0.21,0.21,0
States,Delaware,2019,40,184,4,1,2.72,2.17,0.54
States,District of Columbia,2019,40,X,X,X,X,X,X
States,Florida,2019,40,X,X,X,X,X,X
States,Georgia,2019,40,874,8,16,2.75,0.92,1.83
States,Hawaii,2019,40,310,3,8,3.55,0.97,2.58
States,Idaho,2019,40,59,0,0,0,0,0
States,Illinois,2019,40,207,1,1,0.97,0.48,0.48
States,Indiana,2019,40,168,1,0,0.6,0.6,0
States,Iowa,2019,40,225,0,0,0,0,0
States,Kansas,2019,40,62,0,0,0,0,0
States,Kentucky,2019,40,388,1,0,0.26,0.26,0
States,Louisiana,2019,40,443,2,14,3.61,0.45,3.16
States,Maine,2019,40,34,0,0,0,0,0
States,Maryland,2019,40,136,1,3,2.94,0.74,2.21
States,Massachusetts,2019,40,481,2,0,0.42,0.42,0
States,Michigan,2019,40,1025,5,3,0.78,0.49,0.29
States,Minnesota,2019,40,269,0,0,0,0,0
States,Mississippi,2019,40,44,0,1,2.27,0,2.27
States,Missouri,2019,40,722,2,1,0.42,0.28,0.14
States,Montana,2019,40,99,2,0,2.02,2.02,0
States,Nebraska,2019,40,62,0,0,0,0,0
States,Nevada,2019,40,X,X,X,X,X,X
States,New Hampshire,2019,40,X,X,X,X,X,X
States,New Jersey,2019,40,X,X,X,X,X,X
States,New Mexico,2019,40,247,1,0,0.4,0.4,0
States,New York,2019,40,1354,4,0,0.3,0.3,0
States,North Carolina,2019,40,208,2,0,0.96,0.96,0
States,North Dakota,2019,40,118,0,2,1.69,0,1.69
States,Ohio,2019,40,1318,1,3,0.3,0.08,0.23
States,Oklahoma,2019,40,194,0,0,0,0,0
States,Oregon,2019,40,770,7,4,1.43,0.91,0.52
States,Pennsylvania,2019,40,201,0,0,0,0,0
States,Rhode Island,2019,40,X,X,X,X,X,X
States,South Carolina,2019,40,212,0,0,0,0,0
States,South Dakota,2019,40,53,0,0,0,0,0
States,Tennessee,2019,40,35,0,0,0,0,0
States,Texas,2019,40,1720,21,32,3.08,1.22,1.86
States,Utah,2019,40,369,8,1,2.44,2.17,0.27
States,Vermont,2019,40,67,0,0,0,0,0
States,Virginia,2019,40,231,0,0,0,0,0
States,Washington,2019,40,900,13,1,1.56,1.44,0.11
States,West Virginia,2019,40,367,0,0,0,0,0
States,Wisconsin,2019,40,832,4,0,0.48,0.48,0
States,Wyoming,2019,40,X,X,X,X,X,X
States,Puerto Rico,2019,40,0,0,0,0,0,0
States,Virgin Islands,2019,40,X,X,X,X,X,X
States,New York City,2019,40,X,X,X,X,X,X
States,Alabama,2019,41,498,4,13,3.41,0.8,2.61
States,Alaska,2019,41,X,X,X,X,X,X
States,Arizona,2019,41,273,3,5,2.93,1.1,1.83
States,Arkansas,2019,41,94,1,1,2.13,1.06,1.06
States,California,2019,41,1887,26,11,1.96,1.38,0.58
States,Colorado,2019,41,441,7,3,2.27,1.59,0.68
States,Connecticut,2019,41,466,0,0,0,0,0
States,Delaware,2019,41,218,1,3,1.83,0.46,1.38
States,District of Columbia,2019,41,X,X,X,X,X,X
States,Florida,2019,41,X,X,X,X,X,X
States,Georgia,2019,41,875,11,16,3.09,1.26,1.83
States,Hawaii,2019,41,334,4,2,1.8,1.2,0.6
